               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11288,            0.014924,            0.076722,           0.0062086,               0.375,           0.0061489,           0.0016411,            0.066039,            0.012107,            0.052031,              0.0982,              0.0002,              0.0002
                   1,             0.10717,            0.016395,             0.07465,           0.0065048,               0.375,           0.0064499,           0.0018434,            0.062691,             0.01284,            0.051418,            0.095499,          0.00049901,          0.00049901
                   2,            0.098574,             0.01774,            0.072238,           0.0056083,               0.325,           0.0048485,           0.0014767,              0.0572,            0.014105,            0.050323,            0.092797,          0.00079683,          0.00079683
                   3,            0.089915,            0.020646,            0.070807,           0.0029799,               0.175,           0.0019542,          0.00058738,            0.052293,            0.015261,            0.048849,            0.090093,           0.0010935,           0.0010935
                   4,            0.086456,            0.022084,            0.067022,           0.0033953,                 0.2,            0.002137,          0.00039128,             0.04935,            0.015821,            0.046984,            0.087389,           0.0013889,           0.0013889
                   5,            0.080331,            0.019638,            0.064019,           0.0042502,                0.25,           0.0028269,          0.00062507,            0.046938,            0.016199,              0.0455,            0.084683,           0.0016832,           0.0016832
                   6,            0.072891,            0.021383,            0.061826,           0.0075196,                0.35,           0.0064698,            0.001337,            0.044272,            0.016383,            0.043518,            0.081976,           0.0019762,           0.0019762
                   7,            0.073987,            0.026141,            0.057236,           0.0095271,                 0.4,            0.012034,           0.0027655,            0.041442,            0.016631,            0.041836,            0.079268,           0.0022681,           0.0022681
                   8,            0.067719,            0.022971,            0.053768,            0.014923,                   1,             0.06942,            0.024787,            0.038616,             0.01632,            0.038163,            0.076559,           0.0025588,           0.0025588
                   9,            0.069884,            0.027817,            0.050841,              0.0135,                   1,             0.26812,             0.12812,            0.038243,            0.015676,            0.035201,            0.073848,           0.0028483,           0.0028483
                  10,            0.067321,            0.024189,            0.047028,            0.075773,               0.925,             0.23359,            0.070979,            0.045514,            0.013609,            0.029771,            0.071137,           0.0031366,           0.0031366
                  11,             0.06498,            0.024344,            0.041937,             0.22309,                0.95,             0.50678,             0.15627,            0.036922,            0.013887,            0.027703,            0.068424,           0.0034238,           0.0034238
                  12,            0.064606,             0.02216,            0.039273,             0.21017,               0.925,              0.2181,            0.071452,            0.036695,            0.013034,            0.025712,             0.06571,           0.0037097,           0.0037097
                  13,            0.065856,            0.022917,             0.03971,             0.46601,               0.675,             0.47994,             0.10107,            0.037947,            0.012455,            0.025444,            0.062994,           0.0039945,           0.0039945
                  14,            0.060837,            0.019506,            0.036931,             0.51489,                 0.8,             0.57627,             0.15122,            0.040403,            0.011451,            0.025845,            0.060278,            0.004278,            0.004278
                  15,            0.063825,            0.020969,            0.034958,             0.13458,                 0.9,             0.16881,             0.07281,            0.046525,            0.011036,            0.026499,             0.05756,           0.0045604,           0.0045604
                  16,            0.066304,             0.01993,            0.035306,             0.48418,               0.775,             0.56848,             0.13501,            0.056014,            0.010385,            0.026855,            0.054842,           0.0048416,           0.0048416
                  17,            0.065501,             0.01619,             0.03366,             0.47627,                   1,             0.59069,             0.16077,            0.047836,            0.010592,            0.026888,            0.052122,           0.0051216,           0.0051216
                  18,            0.064351,            0.017468,            0.034777,             0.49562,                   1,             0.60017,             0.13074,            0.048176,            0.010804,            0.025963,              0.0494,           0.0054004,           0.0054004
                  19,            0.064667,            0.013829,            0.033097,             0.50153,                   1,             0.59569,             0.28568,            0.049655,            0.010173,            0.025868,            0.046678,            0.005678,            0.005678
                  20,            0.067591,            0.016513,            0.034454,             0.49596,                   1,             0.61473,             0.19205,            0.044712,            0.010171,            0.024544,            0.043954,           0.0059545,           0.0059545
                  21,            0.064602,            0.015284,            0.033309,             0.16343,               0.875,             0.19228,            0.061825,            0.050559,            0.010154,            0.023908,             0.04123,           0.0062297,           0.0062297
                  22,            0.065045,            0.013847,            0.033208,             0.20781,               0.425,             0.24423,             0.03698,            0.059318,           0.0095694,            0.022577,            0.038504,           0.0065038,           0.0065038
                  23,            0.072442,            0.016149,            0.031919,             0.49798,               0.925,             0.59481,             0.24779,            0.041059,           0.0096531,            0.021882,            0.035777,           0.0067767,           0.0067767
                  24,            0.062194,            0.016797,            0.032407,             0.10575,                0.95,             0.11608,            0.051653,            0.053298,           0.0090566,            0.021379,            0.033048,           0.0070484,           0.0070484
                  25,            0.071436,            0.013744,            0.031826,             0.30913,                0.75,             0.41444,             0.20952,             0.03856,           0.0095652,            0.020921,            0.030319,           0.0073188,           0.0073188
                  26,            0.059221,            0.018228,            0.033109,             0.16586,                   1,             0.18521,             0.07507,            0.044627,           0.0091965,            0.020481,            0.027588,           0.0075882,           0.0075882
                  27,            0.069652,            0.014762,            0.032357,             0.24231,             0.81231,             0.35408,            0.094892,            0.048305,            0.008443,            0.020308,            0.024856,           0.0078563,           0.0078563
                  28,            0.067077,            0.014656,            0.031828,             0.24231,             0.81231,             0.35408,            0.094892,            0.048305,            0.008443,            0.020308,            0.022123,           0.0081232,           0.0081232
                  29,            0.061068,            0.016258,            0.031878,             0.11787,               0.725,             0.15527,            0.070508,             0.04429,           0.0088839,            0.020014,            0.019389,            0.008389,            0.008389
                  30,            0.063533,            0.016603,            0.032024,             0.43263,             0.75031,             0.56685,             0.25156,            0.044358,           0.0086652,            0.019795,            0.016654,           0.0086535,           0.0086535
                  31,            0.074107,            0.015246,            0.030521,             0.13037,               0.425,              0.1733,            0.059178,             0.04387,           0.0088268,            0.019555,            0.013917,           0.0089169,           0.0089169
                  32,             0.05824,             0.01765,             0.03102,             0.13037,               0.425,              0.1733,            0.059178,             0.04387,           0.0088268,            0.019555,            0.011179,           0.0091791,           0.0091791
                  33,            0.057584,            0.015715,            0.030439,             0.48205,               0.725,             0.57153,             0.32325,            0.034516,           0.0090642,            0.019195,           0.0093466,           0.0093466,           0.0093466
                  34,            0.062212,            0.016371,            0.030797,             0.18638,                0.85,             0.27667,             0.10405,            0.046076,           0.0085322,            0.019337,           0.0093466,           0.0093466,           0.0093466
                  35,            0.068551,            0.017272,            0.030013,             0.27053,             0.74273,             0.41872,             0.15078,            0.042327,             0.00891,            0.018944,           0.0093268,           0.0093268,           0.0093268
                  36,            0.061994,            0.015024,            0.029377,             0.27053,             0.74273,             0.41872,             0.15078,            0.042327,             0.00891,            0.018944,            0.009307,            0.009307,            0.009307
                  37,            0.060424,            0.015395,            0.030075,             0.39836,                 0.9,             0.56036,             0.25305,            0.040848,           0.0094579,            0.018766,           0.0092872,           0.0092872,           0.0092872
                  38,             0.06574,            0.014064,            0.029925,             0.11045,               0.675,             0.12196,            0.030008,            0.057051,           0.0092792,             0.01883,           0.0092674,           0.0092674,           0.0092674
                  39,            0.073907,            0.015108,            0.029705,             0.33547,                0.85,             0.37889,             0.13602,             0.04802,           0.0085824,            0.017829,           0.0092476,           0.0092476,           0.0092476
                  40,            0.070587,            0.013231,            0.028674,             0.33547,                0.85,             0.37889,             0.13602,             0.04802,           0.0085824,            0.017829,           0.0092278,           0.0092278,           0.0092278
                  41,             0.06015,            0.013929,            0.027496,              0.6435,                0.85,             0.70671,             0.36652,            0.033456,           0.0085928,            0.017364,            0.009208,            0.009208,            0.009208
                  42,            0.059608,             0.01429,            0.027643,             0.19135,                0.85,             0.22523,             0.12514,            0.048904,           0.0083597,            0.016905,           0.0091882,           0.0091882,           0.0091882
                  43,            0.061265,            0.014228,            0.026975,             0.55187,             0.94893,             0.69275,             0.35755,            0.038618,           0.0080748,            0.016551,           0.0091684,           0.0091684,           0.0091684
                  44,            0.061295,            0.015209,            0.027765,             0.55187,             0.94893,             0.69275,             0.35755,            0.038618,           0.0080748,            0.016551,           0.0091486,           0.0091486,           0.0091486
                  45,            0.052459,            0.016695,            0.026081,              0.6992,               0.825,             0.86477,             0.38852,            0.033961,           0.0080237,            0.015826,           0.0091288,           0.0091288,           0.0091288
                  46,            0.052523,            0.014852,            0.024969,             0.20856,                0.75,             0.28021,             0.10543,            0.051142,           0.0085536,            0.015874,            0.009109,            0.009109,            0.009109
                  47,            0.068925,            0.014502,            0.024538,             0.86576,             0.77464,             0.92421,             0.36041,             0.04082,            0.008172,            0.014933,           0.0090892,           0.0090892,           0.0090892
                  48,            0.066436,            0.014133,            0.023106,             0.86576,             0.77464,             0.92421,             0.36041,             0.04082,            0.008172,            0.014933,           0.0090694,           0.0090694,           0.0090694
                  49,            0.054585,            0.014806,            0.022675,             0.32663,                0.75,             0.57878,             0.22978,             0.03885,           0.0081806,            0.014372,           0.0090496,           0.0090496,           0.0090496
                  50,              0.0529,             0.01466,            0.023216,             0.30013,                0.95,             0.47842,             0.13297,            0.046292,            0.008324,            0.015253,           0.0090298,           0.0090298,           0.0090298
                  51,            0.057496,            0.013022,            0.023841,             0.95452,             0.98811,             0.99148,             0.60588,            0.034167,           0.0077689,            0.014158,             0.00901,             0.00901,             0.00901
                  52,            0.049031,            0.014601,            0.022393,             0.95452,             0.98811,             0.99148,             0.60588,            0.034167,           0.0077689,            0.014158,           0.0089902,           0.0089902,           0.0089902
                  53,            0.045678,            0.015503,            0.021103,             0.97487,             0.96419,             0.99262,             0.50594,            0.033647,           0.0077517,            0.013408,           0.0089704,           0.0089704,           0.0089704
                  54,            0.048744,             0.01262,            0.023445,             0.62594,                0.95,             0.85553,             0.37543,            0.039741,            0.008016,            0.012364,           0.0089506,           0.0089506,           0.0089506
                  55,            0.054907,             0.01236,            0.021038,             0.88777,             0.94904,             0.96474,             0.29415,            0.032529,           0.0079682,            0.011292,           0.0089308,           0.0089308,           0.0089308
                  56,            0.051432,             0.01331,            0.018277,             0.88777,             0.94904,             0.96474,             0.29415,            0.032529,           0.0079682,            0.011292,            0.008911,            0.008911,            0.008911
                  57,            0.046828,            0.012521,            0.019311,             0.98352,               0.975,             0.99381,             0.40688,            0.027779,           0.0077217,            0.010726,           0.0088912,           0.0088912,           0.0088912
                  58,            0.050042,            0.013229,            0.019766,               0.554,                 0.9,             0.65019,             0.27099,            0.035606,           0.0082116,           0.0099966,           0.0088714,           0.0088714,           0.0088714
                  59,             0.05489,            0.013113,            0.018531,             0.55956,                 0.8,             0.82132,             0.56533,            0.040596,           0.0084571,           0.0092616,           0.0088516,           0.0088516,           0.0088516
                  60,            0.058797,            0.011117,            0.017323,             0.55956,                 0.8,             0.82132,             0.56533,            0.040596,           0.0084571,           0.0092616,           0.0088318,           0.0088318,           0.0088318
                  61,             0.05277,            0.012802,            0.020009,             0.56629,               0.866,             0.90458,             0.58808,            0.032812,           0.0077641,           0.0090297,            0.008812,            0.008812,            0.008812
                  62,            0.049609,            0.013181,            0.017254,             0.54255,               0.825,              0.7837,             0.36772,            0.041455,           0.0074609,             0.00803,           0.0087922,           0.0087922,           0.0087922
                  63,            0.059763,            0.012226,            0.015756,             0.72359,             0.83693,             0.83182,             0.42923,            0.030396,            0.006904,            0.010218,           0.0087724,           0.0087724,           0.0087724
                  64,            0.046269,            0.011945,            0.015951,             0.72359,             0.83693,             0.83182,             0.42923,            0.030396,            0.006904,            0.010218,           0.0087526,           0.0087526,           0.0087526
                  65,            0.044558,            0.013291,            0.017418,             0.79595,               0.975,             0.90149,             0.57783,            0.028807,           0.0068016,           0.0076838,           0.0087328,           0.0087328,           0.0087328
                  66,            0.045798,            0.012957,             0.01451,             0.47087,                 0.9,             0.55566,             0.29095,            0.035865,           0.0072867,           0.0074244,            0.008713,            0.008713,            0.008713
                  67,            0.054236,            0.012445,            0.015071,             0.71689,               0.875,             0.89358,             0.48869,            0.028327,           0.0067761,           0.0077229,           0.0086932,           0.0086932,           0.0086932
                  68,            0.044845,            0.013171,            0.014987,             0.71689,               0.875,             0.89358,             0.48869,            0.028327,           0.0067761,           0.0077229,           0.0086734,           0.0086734,           0.0086734
                  69,            0.044597,            0.011625,            0.016528,              0.9012,             0.88684,             0.95111,             0.52223,            0.026393,           0.0068963,           0.0083836,           0.0086536,           0.0086536,           0.0086536
                  70,            0.046253,            0.011857,            0.011985,             0.36455,             0.79858,              0.5308,             0.21975,              0.0448,           0.0078511,           0.0087731,           0.0086338,           0.0086338,           0.0086338
                  71,            0.059407,            0.011057,            0.012657,             0.47018,                 0.9,             0.61268,              0.2741,            0.032906,           0.0067181,           0.0089132,            0.008614,            0.008614,            0.008614
                  72,            0.049358,            0.011462,            0.014667,             0.47018,                 0.9,             0.61268,              0.2741,            0.032906,           0.0067181,           0.0089132,           0.0085942,           0.0085942,           0.0085942
                  73,            0.043893,            0.010941,            0.014529,             0.96044,               0.925,             0.96058,              0.5563,             0.02217,           0.0063502,            0.007189,           0.0085744,           0.0085744,           0.0085744
                  74,            0.047388,            0.013199,            0.014214,              0.3303,               0.875,             0.41629,             0.20326,            0.043336,            0.006929,           0.0066052,           0.0085546,           0.0085546,           0.0085546
                  75,            0.052913,            0.012314,            0.012873,             0.54759,                0.95,              0.7748,             0.46116,            0.026422,           0.0060683,           0.0062645,           0.0085348,           0.0085348,           0.0085348
                  76,            0.046542,           0.0090075,            0.014887,             0.54759,                0.95,              0.7748,             0.46116,            0.026422,           0.0060683,           0.0062645,            0.008515,            0.008515,            0.008515
                  77,            0.040282,            0.010104,            0.010496,             0.78318,                0.95,             0.92803,             0.61223,            0.023447,           0.0060015,           0.0060729,           0.0084952,           0.0084952,           0.0084952
                  78,             0.04406,            0.010658,            0.012906,             0.65162,               0.975,             0.80614,              0.3314,            0.031908,           0.0058785,           0.0056432,           0.0084754,           0.0084754,           0.0084754
                  79,            0.047172,            0.010057,            0.013573,             0.54434,             0.96035,             0.73986,             0.40243,            0.032554,           0.0059867,           0.0056965,           0.0084556,           0.0084556,           0.0084556
